City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
257,Bottrop,DE,2021-07-23 01:37:21,51.5167,6.9167,60.8,81,0,1.01
258,Diamantino,BR,2021-07-23 01:40:03,-14.4086,-56.4461,71.13,38,0,3.02
259,Abha,SA,2021-07-23 01:40:03,18.2164,42.5053,57.45,88,75,11.5
260,Rio Grande,BR,2021-07-23 01:35:49,-32.035,-52.0986,52.95,87,99,9.78
261,Atagay,RU,2021-07-23 01:40:04,55.1033,99.3875,70.52,50,0,4.74
262,Bathsheba,BB,2021-07-23 01:40:04,13.2167,-59.5167,81.21,83,40,19.57
263,Provideniya,RU,2021-07-23 01:40:04,64.3833,-173.3,46.51,71,75,13.42
264,Noumea,NC,2021-07-23 01:40:05,-22.2763,166.4572,75.99,99,93,8.84
265,Rawson,AR,2021-07-23 01:40:05,-43.3002,-65.1023,53.53,48,100,9.84
266,Bandundu,CD,2021-07-23 01:40:06,-3.3167,17.3667,72.07,42,100,4.59
267,Cockburn Town,TC,2021-07-23 01:40:06,21.4612,-71.1419,81.88,84,66,19.62
268,Hwange,ZW,2021-07-23 01:40:06,-18.3693,26.5019,52.63,18,9,2.68
269,Portland,US,2021-07-23 01:38:52,45.5234,-122.6762,82.62,40,20,1.99
270,Petropavlovsk-Kamchatskiy,RU,2021-07-23 01:40:07,53.0452,158.6483,57.79,100,90,8.95
271,Barcelos,PT,2021-07-23 01:40:07,41.5388,-8.6151,64.29,95,100,1.72
272,Sydney,AU,2021-07-23 01:38:22,-33.8679,151.2073,61.61,63,75,8.01
273,Lapi,PH,2021-07-23 01:40:08,17.716,121.8978,87.21,64,100,5.37
274,Cavalcante,BR,2021-07-23 01:40:08,-13.7975,-47.4583,66.04,51,42,4.97
275,Behbahan,IR,2021-07-23 01:40:09,30.5959,50.2417,85.32,46,2,2.08
276,Maragogi,BR,2021-07-23 01:40:09,-9.0122,-35.2225,73.6,84,36,10.87
277,Turayf,SA,2021-07-23 01:40:09,31.6725,38.6637,73.65,49,0,13.8
278,Abhar,IR,2021-07-23 01:40:10,36.1468,49.218,70.23,56,0,3.47
279,Nata,PA,2021-07-23 01:40:10,8.3333,-80.5167,80.47,89,100,4.34
280,Necochea,AR,2021-07-23 01:37:30,-38.5473,-58.7368,49.03,72,100,9.84
281,Inhambane,MZ,2021-07-23 01:37:08,-23.865,35.3833,66.2,62,0,15.5
282,Prachuap Khiri Khan,TH,2021-07-23 01:40:11,12.2167,99.75,84.58,56,100,10.69
283,Yumen,CN,2021-07-23 01:40:11,40.2833,97.2,86.09,29,50,12.71
284,Pangnirtung,CA,2021-07-23 01:40:12,66.1451,-65.7125,44.29,79,95,3.02
285,Walvis Bay,NA,2021-07-23 01:40:12,-22.9575,14.5053,49.15,53,0,8.05
286,Puerto Narino,CO,2021-07-23 01:40:12,-3.7703,-70.3831,76.95,71,99,0.96
287,Rio Gallegos,AR,2021-07-23 01:35:59,-51.6226,-69.2181,41.05,56,40,17.27
288,Canandaigua,US,2021-07-23 01:40:13,42.8742,-77.288,69.33,82,73,4.47
289,Warrington,GB,2021-07-23 01:37:00,53.3925,-2.5802,69.8,81,61,1.99
290,Aripuana,BR,2021-07-23 01:40:14,-9.1667,-60.6333,73.74,47,0,2.3
291,Kitgum,UG,2021-07-23 01:40:14,3.2783,32.8867,63.79,91,9,1.79
292,Comodoro Rivadavia,AR,2021-07-23 01:40:14,-45.8667,-67.5,58.86,41,0,13.8
293,Faanui,PF,2021-07-23 01:40:15,-16.4833,-151.75,77.95,68,10,14.81
